,h5_path,sim_folder,param_folder,type,rbm,x0,y0,sigma,t_dec,dist,lam_psi,D_psi,v0,lam_p,D_p,gamma,alpha,rq,mu,dpsi,seed,Nb,area_psi,area_q,max_psi,has_diff
7,outputs/differentiation_sweep/dist_pol_sig_9.0_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260610_153812/data.h5,sim_data_20260610_153812,dist_pol_sig_9.0_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,9.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1224231907,151.0110103145816,3.3306690738754696e-14,0.0,-0.9999999999999334,False
14,outputs/differentiation_sweep/dist_pol_sig_8.0_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260610_145143/data.h5,sim_data_20260610_145143,dist_pol_sig_8.0_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,8.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,315622072,360.6211832803642,3.3306690738754696e-14,0.0,-0.9999999999999334,False
26,outputs/differentiation_sweep/dist_pol_sig_2.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_120803/data.h5,sim_data_20260610_120803,dist_pol_sig_2.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,2.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,957623818,17.59291886010284,3.3306690738754696e-14,0.0,-0.9999999999999334,False
53,outputs/differentiation_sweep/dist_pol_sig_1.5_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_113651/data.h5,sim_data_20260610_113651,dist_pol_sig_1.5_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,1.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1604402536,9.896016858807847,3.3306690738754696e-14,0.0,-0.9999999999999334,False
62,outputs/differentiation_sweep/dist_pol_sig_10.0_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_165157/data.h5,sim_data_20260610_165157,dist_pol_sig_10.0_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,10.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1183133500,61.27861949929648,3.3306690738754696e-14,0.0,-0.9999999999999334,False
64,outputs/differentiation_sweep/dist_pol_sig_12.5_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260610_200752/data.h5,sim_data_20260610_200752,dist_pol_sig_12.5_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,12.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,2012996686,268.31600020699386,3.3306690738754696e-14,0.0,-0.9999999999999334,False
68,outputs/differentiation_sweep/dist_pol_sig_10.0_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260610_165354/data.h5,sim_data_20260610_165354,dist_pol_sig_10.0_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,10.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,2137173632,245.11447799718593,3.3306690738754696e-14,0.0,-0.9999999999999334,False
78,outputs/differentiation_sweep/dist_pol_sig_10.5_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260610_173751/data.h5,sim_data_20260610_173751,dist_pol_sig_10.5_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,10.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,549710844,267.5901138627063,3.3306690738754696e-14,0.0,-0.9999999999999334,False
101,outputs/differentiation_sweep/dist_pol_sig_30.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260612_135635/data.h5,sim_data_20260612_135635,dist_pol_sig_30.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,30.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1499986737,1402.9609501288842,0.9999999999999588,0.0,0.9999999999999192,True
102,outputs/differentiation_sweep/dist_pol_sig_12.0_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_193818/data.h5,sim_data_20260610_193818,dist_pol_sig_12.0_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,12.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,888056273,503.17863840119315,0.9999999999999718,0.0,0.9999999999999488,True
109,outputs/differentiation_sweep/dist_pol_sig_8.5_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_145306/data.h5,sim_data_20260610_145306,dist_pol_sig_8.5_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,8.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1317908371,45.098828212239596,3.3306690738754696e-14,0.0,-0.9999999999999334,False
112,outputs/differentiation_sweep/dist_pol_sig_25.0_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260612_125851/data.h5,sim_data_20260612_125851,dist_pol_sig_25.0_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,25.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,495702824,732.0719833460262,0.9999999999999537,0.0,0.9999999999999091,True
117,outputs/differentiation_sweep/dist_pol_sig_0.5_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260609_192723/data.h5,sim_data_20260609_192723,dist_pol_sig_0.5_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,0.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1585514002,0.7853981633974483,1.3322676295501878e-13,0.0,-0.9999999999997335,False
127,outputs/differentiation_sweep/dist_pol_sig_7.0_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260610_130756/data.h5,sim_data_20260610_130756,dist_pol_sig_7.0_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,7.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1312069059,92.29687091996053,3.3306690738754696e-14,0.0,-0.9999999999999334,False
129,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_212510/data.h5,sim_data_20260610_212510,dist_pol_sig_13.5_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,952219105,601.8363664444378,0.9999999999999724,0.0,0.9999999999999488,True
142,outputs/differentiation_sweep/dist_pol_sig_6.5_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260610_125303/data.h5,sim_data_20260610_125303,dist_pol_sig_6.5_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,6.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,845210821,238.86034789581748,3.3306690738754696e-14,0.0,-0.9999999999999334,False
149,outputs/differentiation_sweep/dist_pol_sig_10.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_172247/data.h5,sim_data_20260610_172247,dist_pol_sig_10.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,10.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,672133126,612.7861949929647,0.999999999999972,0.0,0.9999999999999556,True
152,outputs/differentiation_sweep/dist_pol_sig_15.0_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260610_231030/data.h5,sim_data_20260610_231030,dist_pol_sig_15.0_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,15.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,123157285,462.52214309602857,3.3306690738754696e-14,0.0,-0.9999999999999334,False
